score,method,member,comment
0.54761,gpt2,gino885,2026-05-11 16:15:21 EDT@d8b2520
0.52804,bert,Yuchen667,2026-05-11 16:36:40 EDT@cf36515
0.52352,gpt2,Yuchen667,2026-05-11 16:36:40 EDT@cf36515
0.51734,gpt2,fedickinson,2026-05-11 00:03:27 EDT@13a39dd
0.50532,gpt2,CashelF,2026-05-11 18:26:54 EDT@f7b4281
0.50504,gpt2,TaraMunjuluri,2026-05-11 19:43:25 EDT@ef60c05
0.50365,gpt2,RyanWHU2016,2026-05-11 20:59:32 EDT@5aa7126
0.50365,bert,RyanWHU2016,2026-05-11 20:59:32 EDT@5aa7126
0.50263,bert,Yaozzzx,2026-05-09 18:27:59 EDT@946b6ec
0.49784,bert,TaraMunjuluri,2026-05-11 19:43:25 EDT@ef60c05
0.49582,bert,fedickinson,2026-05-11 00:03:27 EDT@13a39dd
0.49565,bert,beratcelik1,2026-05-11 17:15:42 EDT@02fe0ce
0.49295,bert,susanwu33,2026-05-11 22:53:24 EDT@5c0ecee
0.49271,gpt2,zhumengzhiren,2026-05-06 20:45:28 EDT@2784c20
0.48647,gpt2,hniz,2026-05-10 22:28:24 EDT@a7b2db7
0.47859,gpt2,beratcelik1,2026-05-11 17:15:42 EDT@02fe0ce
0.47737,gpt2,stefan-arni,2026-05-04 23:04:16 EDT@f1ac3cd
0.47581,bert,zhumengzhiren,2026-05-06 20:45:28 EDT@2784c20
0.47323,gpt2,dersteppenwolfruowen-316,2026-05-10 09:31:27 EDT@cfba10c
0.47271,gpt2,ZiruiHan,2026-05-11 14:47:35 EDT@2ce626f
0.47249,bert,ZiruiHan,2026-05-11 14:47:35 EDT@2ce626f
0.46933,gpt2,pcatattacks,2026-05-08 13:20:02 EDT@eea3a91
0.46459,bert,kai-maeda,2026-05-10 18:41:37 EDT@60f3b73
0.46437,gpt2,Yaozzzx,2026-05-09 18:27:59 EDT@946b6ec
0.46275,gpt2,adyckerh,2026-05-03 20:56:06 EDT@01bb87f
0.4616,gpt2,vishalival,2026-05-04 16:34:06 EDT@21d4f99
0.45896,bert,JaneShuey,2026-05-05 14:20:56 EDT@4b3e00e
0.45114,bert,hniz,2026-05-10 22:28:24 EDT@a7b2db7
0.44814,bert,jeff082chen,2026-05-01 12:08:37 EDT@6216f4b
0.44716,gpt2,dexterfire861,2026-05-11 19:19:57 EDT@bc59f36
0.44699,gpt2,om239-jpg,2026-05-07 20:22:14 EDT@5f35b8e
0.44271,gpt2,ig336,2026-05-03 21:11:11 EDT@9e588b6
0.44256,gpt2,Flx232,2026-05-10 19:45:42 EDT@1e685a9
0.44245,bert,pcatattacks,2026-05-08 13:20:02 EDT@eea3a91
0.44217,gpt2,susanwu33,2026-05-11 22:53:24 EDT@5c0ecee
0.43861,gpt2,ananyasammidi,2026-05-11 11:23:56 EDT@848a695
0.43695,gpt2,VincentPit,2026-05-04 09:07:52 EDT@e9e955c
0.43281,bert,elooff,2026-05-01 17:30:08 EDT@dc17f18
